a1,a5a,DR,a10,a12,a15_rec,a16,taille_menage,g01bis,g02bis,g04bis,g05bis,g06bis,g07bis,g08bis,g09bis,g11bis,g12bis,g12_autre,g10bis,g13bis,g14bis,g16bis,g19bis,g19_autre_a_preciser,g03_unitbis,g03_dureebis,g15_unitbis,g15_dureebis,poids,strate
DAKAR,02206,022,Chef de menage,Feminin,30-34ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,1,Moins de 30 minutes,Diminué,Torche,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,Trop dangereux,,NSP,99,,,730.3248291015625,Dakar urbain
DAKAR,02305,023,Beau-FilsBelle-Fille,Feminin,20-24ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,0,Entre 2 et 6 heures,Diminué,Bougies,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,Manque de place/surcharge,,NSP,99,,,953.3085327148438,Dakar urbain
DAKAR,02307,023,Chef de menage,Masculi,50-54ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,2,Entre 30 minutes et 1 heure,Diminué,Bougies,Oui,,,Non,,,Transport public TaTa,Manque de place/surcharge,,NSP,99,,,953.3085327148438,Dakar urbain
DAKAR,02309,023,Enfant biologiqueAdopte,Masculi,25-29ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,3,Entre 2 et 6 heures,Diminué,Torche,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,"Indicipline conducteur, apprenti/receveur",,NSP,99,,,953.3085327148438,Dakar urbain
DAKAR,02310,023,EpouseEpoux,Feminin,60-64ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,3,Entre 30 minutes et 1 heure,Diminué,Torche,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,Prix trop élevé,,NSP,99,,,953.3085327148438,Dakar urbain
DAKAR,02402,024,Autre Parent,Feminin,35-39ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,3,Entre 30 minutes et 1 heure,Diminué,Torche,Oui,,,Oui,,,Transport public TaTa,Manque de place/surcharge,,NSP,99,,,971.3467407226563,Dakar urbain
DAKAR,02405,024,Enfant biologiqueAdopte,Masculi,20-24ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,2,Moins de 30 minutes,Augmenté,Lampe rechargeable,Oui,,,Oui,,,Transport public TaTa,Manque de place/surcharge,,NSP,99,,,971.3467407226563,Dakar urbain
DAKAR,02409,024,EpouseEpoux,Feminin,40-44ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,1,Entre 30 minutes et 1 heure,Diminué,Bougies,Oui,,,Non,,,Transport public TaTa,Manque de place/surcharge,,NSP,99,,,971.3467407226563,Dakar urbain
DAKAR,02410,024,Chef de menage,Masculi,50-54ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,0,Entre 30 minutes et 1 heure,Diminué,Torche,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,Manque de place/surcharge,,NSP,99,,,971.3467407226563,Dakar urbain
DAKAR,02504,025,Enfant biologiqueAdopte,Masculi,35-39ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par mois,0,Entre 2 et 6 heures,Diminué,Bougies,Oui,,,Non,,,Transport public TaTa,Manque de place/surcharge,,NSP,99,,,737.7018432617188,Dakar urbain
DAKAR,02507,025,Beau-FrereBelle-S?ur,Feminin,35-39ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par mois,1,Moins de 30 minutes,Diminué,Bougies,Oui,,,Non,,,Transport public TaTa,Manque de place/surcharge,,NSP,99,,,737.7018432617188,Dakar urbain
DAKAR,02509,025,Autre Parent,Feminin,55-59ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,3,Entre 2 et 6 heures,Restée la même,Bougies,Oui,,,Oui,,,Transport public TaTa,Manque de place/surcharge,,NSP,99,,,737.7018432617188,Dakar urbain
DAKAR,02510,025,Chef de menage,Masculi,45-49ans,Serere, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,4,Entre 1 et 2 heures,Diminué,Bougies,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,Autre,,NSP,99,,,737.7018432617188,Dakar urbain
DAKAR,02603,026,EpouseEpoux,Feminin,30-34ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,7,Entre 1 et 2 heures,Augmenté,Bougies,Oui,,,Oui,,,La voiture/vehicule personnel,Aucune repproche,,NSP,99,,,932.4080200195313,Dakar urbain
DAKAR,02606,026,EpouseEpoux,Feminin,45-49ans,Manding, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Chaque jour,7,Moins de 30 minutes,Augmenté,Bougies,Oui,,,Non,,,Transport Dakar Dem Dikk,Prix trop élevé,,NSP,99,,,932.4080200195313,Dakar urbain
DAKAR,02609,026,Chef de menage,Masculi,20-24ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par mois,4,Entre 30 minutes et 1 heure,Diminué,Bougies,Oui,,,Non,,,Transport Dakar Dem Dikk,Manque de place/surcharge,,NSP,99,,,932.4080200195313,Dakar urbain
DAKAR,02710,027,Chef de menage,Masculi,45-49ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,0,Entre 2 et 6 heures,Restée la même,Bougies,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,"Indicipline conducteur, apprenti/receveur",,NSP,99,,,823.7070922851563,Dakar urbain
DAKAR,02805,028,Chef de menage,Masculi,40-44ans,Serere, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,5,Entre 2 et 6 heures,Augmenté,Bougies,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,Autre,,NSP,99,,,686.1610717773438,Dakar urbain
DAKAR,02810,028,Beau-FrereBelle-S?ur,Feminin,40-44ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,4,Entre 2 et 6 heures,Augmenté,Bougies,Oui,,,Oui,,,Transport public TaTa,"Indicipline conducteur, apprenti/receveur",,NSP,99,,,686.1610717773438,Dakar urbain
DAKAR,02904,029,EpouseEpoux,Feminin,45-49ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,3,Moins de 30 minutes,Diminué,Bougies,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,"Indicipline conducteur, apprenti/receveur",,NSP,99,,,933.7877197265625,Dakar urbain
DAKAR,02908,029,Chef de menage,Feminin,35-39ans,Halpulaar, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,2,Entre 30 minutes et 1 heure,Diminué,Torche,Oui,,,Non,,,Transport public TaTa,Manque de fiabilité des services de transport public,,NSP,99,,,933.7877197265625,Dakar urbain
DAKAR,02909,029,Chef de menage,Masculi,35-39ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,3,Entre 2 et 6 heures,Augmenté,Torche,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,"Indicipline conducteur, apprenti/receveur",,NSP,99,,,933.7877197265625,Dakar urbain
DAKAR,03008,030,Chef de menage,Masculi,20-24ans,Serere, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,1,Moins de 30 minutes,Diminué,Bougies,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,Autre,,NSP,99,,,651.9689331054688,Dakar urbain
DAKAR,03010,030,Enfant biologiqueAdopte,Masculi,40-44ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par mois,4,Entre 30 minutes et 1 heure,Diminué,Bougies,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,Manque de fiabilité des services de transport public,,NSP,99,,,651.9689331054688,Dakar urbain
DAKAR,03011,030,EpouseEpoux,Feminin,40-44ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,3,Entre 1 et 2 heures,Augmenté,Bougies,Oui,,,Oui,,,Taxi clando,Aucune repproche,,NSP,99,,,651.9689331054688,Dakar urbain
DAKAR,03106,031,Enfant biologiqueAdopte,Feminin,18-19ans,Fula, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,3,Entre 2 et 6 heures,Augmenté,Bougies,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,"Indicipline conducteur, apprenti/receveur",,NSP,99,,,786.0928955078125,Dakar urbain
DAKAR,03107,031,EpouseEpoux,Feminin,40-44ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,3,Entre 1 et 2 heures,Diminué,Bougies,Oui,,,Oui,,,Transport public TaTa,Manque de place/surcharge,,NSP,99,,,786.0928955078125,Dakar urbain
DAKAR,03110,031,Enfant biologiqueAdopte,Masculi,30-34ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,4,Entre 30 minutes et 1 heure,Diminué,Bougies,Oui,,,Oui,,,Transport public TaTa,Manque de place/surcharge,,NSP,99,,,786.0928955078125,Dakar urbain
DAKAR,03112,031,Chef de menage,Feminin,25-29ans,Halpulaar, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,4,Entre 30 minutes et 1 heure,Diminué,Lampe rechargeable,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,Manque de place/surcharge,,NSP,99,,,786.0928955078125,Dakar urbain
DAKAR,03201,032,Chef de menage,Feminin,50-54ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,7,Entre 1 et 2 heures,Restée la même,Bougies,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,"Indicipline conducteur, apprenti/receveur",,NSP,99,,,789.5631713867188,Dakar urbain
DAKAR,03203,032,Chef de menage,Masculi,40-44ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,3,Entre 30 minutes et 1 heure,Diminué,Bougies,Oui,,,Oui,,,Transport public TaTa,Prix trop élevé,,NSP,99,,,789.5631713867188,Dakar urbain
DAKAR,03205,032,Beau-FrereBelle-S?ur,Feminin,18-19ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,3,Plus de 6 heures,Diminué,Bougies,Oui,,,Oui,,,Transport public TaTa,Manque de place/surcharge,,NSP,99,,,789.5631713867188,Dakar urbain
DAKAR,03307,033,EpouseEpoux,Feminin,25-29ans,Halpulaar, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,2,Entre 30 minutes et 1 heure,Diminué,Torche,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,Prix trop élevé,,NSP,99,,,809.3505249023438,Dakar urbain
DAKAR,03312,033,Chef de menage,Feminin,20-24ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,3,Entre 30 minutes et 1 heure,Augmenté,Bougies,Oui,,,Oui,,,Transport public TaTa,"Indicipline conducteur, apprenti/receveur",,NSP,99,,,809.3505249023438,Dakar urbain
DAKAR,03401,034,Chef de menage,Feminin,45-49ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,0,Entre 30 minutes et 1 heure,Diminué,Torche,Oui,,,Non,,,Le trekking/marche/à pied,Manque de fiabilité des services de transport public,,NSP,99,,,741.5542602539063,Dakar urbain
DAKAR,03404,034,Enfant biologiqueAdopte,Masculi,40-44ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,3,Moins de 30 minutes,Diminué,Bougies,Oui,,,Non,,,Transport public TaTa,Attente trop longue,,NSP,99,,,741.5542602539063,Dakar urbain
DAKAR,03405,034,Enfant biologiqueAdopte,Feminin,25-29ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,3,Moins de 30 minutes,Diminué,Bougies,Oui,,,Non,,,Transport public TaTa,Aucune repproche,,NSP,99,,,741.5542602539063,Dakar urbain
DAKAR,03406,034,EpouseEpoux,Feminin,14-17ans,Halpulaar, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par mois,2,Entre 30 minutes et 1 heure,Diminué,Bougies,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,Perte de temps,,NSP,99,,,741.5542602539063,Dakar urbain
DAKAR,03410,034,EpouseEpoux,Feminin,40-44ans,Halpulaar, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,0,Entre 2 et 6 heures,Restée la même,Torche,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,Aucune repproche,,NSP,99,,,741.5542602539063,Dakar urbain
DAKAR,03510,035,Chef de menage,Masculi,40-44ans,Manding, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,2,Entre 2 et 6 heures,Diminué,Bougies,Oui,,,Oui,,,Le trekking/marche/à pied,Aucune repproche,,NSP,99,,,909.3931274414063,Dakar urbain
DAKAR,03512,035,EpouseEpoux,Feminin,30-34ans,Halpulaar, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,2,Plus de 6 heures,Augmenté,Bougies,Oui,,,Oui,,,Transport Dakar Dem Dikk,Aucune repproche,,NSP,99,,,909.3931274414063,Dakar urbain
DAKAR,03602,036,EpouseEpoux,Feminin,40-44ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,1,Moins de 30 minutes,Diminué,Bougies,Oui,,,Non,,,Transport public TaTa,Aucune repproche,,NSP,99,,,713.9808959960938,Dakar urbain
DAKAR,03603,036,Chef de menage,Masculi,70-74ans,Serere, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,3,Entre 30 minutes et 1 heure,Diminué,Torche,Oui,,,Non,,,Taxi clando,Autre,,NSP,99,,,713.9808959960938,Dakar urbain
DAKAR,03604,036,EpouseEpoux,Feminin,40-44ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,2,Entre 30 minutes et 1 heure,Augmenté,Bougies,Oui,,,Non,,,Transport public Ndiaga ndiaye ou car rapide,"Indicipline conducteur, apprenti/receveur",,NSP,99,,,713.9808959960938,Dakar urbain
DAKAR,03607,036,Autre Parent,Masculi,18-19ans,Halpulaar, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,1,Entre 30 minutes et 1 heure,Restée la même,Bougies,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,Manque de place/surcharge,,NSP,99,,,713.9808959960938,Dakar urbain
DAKAR,03609,036,Chef de menage,Masculi,60-64ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Chaque jour,7,Entre 2 et 6 heures,Augmenté,Bougies,Oui,,,Oui,,,Transport public TaTa,"Indicipline conducteur, apprenti/receveur",,NSP,99,,,713.9808959960938,Dakar urbain
DAKAR,03611,036,Enfant biologiqueAdopte,Masculi,35-39ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,2,Entre 2 et 6 heures,Augmenté,Bougies,Oui,,,Oui,,,Transport public TaTa,Manque de place/surcharge,,NSP,99,,,713.9808959960938,Dakar urbain
DAKAR,03711,037,Chef de menage,Masculi,40-44ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,7,Moins de 30 minutes,Restée la même,Bougies,Oui,,,Oui,,,Transport public TaTa,"Indicipline conducteur, apprenti/receveur",,NSP,99,,,531.6693725585938,Dakar urbain
DAKAR,03806,038,NieceNeveu,Feminin,20-24ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,7,Entre 30 minutes et 1 heure,Augmenté,Torche,Oui,,,Non,,,Transport public TaTa,Manque de place/surcharge,,NSP,99,,,210.5963134765625,Dakar urbain
DAKAR,03902,039,Beau-FilsBelle-Fille,Feminin,18-19ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,2,Moins de 30 minutes,Augmenté,Torche,Oui,,,Oui,,,Taxi clando,Manque de fiabilité des services de transport public,,NSP,99,,,813.4449462890625,Dakar urbain
DAKAR,03905,039,Enfant biologiqueAdopte,Feminin,20-24ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,3,Moins de 30 minutes,Diminué,Bougies,Oui,,,Non,,,Transport public TaTa,Manque de place/surcharge,,NSP,99,,,813.4449462890625,Dakar urbain
DAKAR,03909,039,EpouseEpoux,Feminin,20-24ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Chaque jour,7,Plus de 6 heures,Augmenté,Bougies,Oui,,,Non,,,Taxi clando,"Indicipline conducteur, apprenti/receveur",,NSP,99,,,813.4449462890625,Dakar urbain
DAKAR,03911,039,Chef de menage,Masculi,30-34ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Chaque jour,7,Entre 30 minutes et 1 heure,Augmenté,Bougies,Oui,,,Non,,,Transport public TaTa,"Indicipline conducteur, apprenti/receveur",,NSP,99,,,813.4449462890625,Dakar urbain
DAKAR,04001,040,Petit-enfant,Feminin,18-19ans,Lebou, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,3,Moins de 30 minutes,Diminué,Bougies,Oui,,,Non,,,Taxi jaune noir,Manque de place/surcharge,,NSP,99,,,890.248046875,Dakar urbain
DAKAR,04002,040,EpouseEpoux,Feminin,50-54ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,2,Plus de 6 heures,Diminué,Bougies,Oui,,,Non,,,Taxi clando,Manque de fiabilité des services de transport public,,NSP,99,,,890.248046875,Dakar urbain
DAKAR,04007,040,Chef de menage,Masculi,55-59ans,Halpulaar, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,3,Entre 1 et 2 heures,Restée la même,Bougies,Oui,,,Non,,,Transport public TaTa,Attente trop longue,,NSP,99,,,890.248046875,Dakar urbain
DAKAR,04012,040,S?urFrere,Masculi,40-44ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,6,Moins de 30 minutes,Diminué,Bougies,Oui,,,Oui,,,Taxi clando,"Indicipline conducteur, apprenti/receveur",,NSP,99,,,890.248046875,Dakar urbain
DAKAR,04102,041,EpouseEpoux,Feminin,55-59ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,3,Entre 30 minutes et 1 heure,Diminué,Bougies,Oui,,,Oui,,,Transport public TaTa,Prix trop élevé,,NSP,99,,,837.5989379882813,Dakar urbain
DAKAR,04107,041,Enfant biologiqueAdopte,Masculi,18-19ans,Halpulaar, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,3,Entre 1 et 2 heures,Augmenté,Bougies,Oui,,,Oui,,,Taxi jaune noir,Aucune repproche,,NSP,99,,,837.5989379882813,Dakar urbain
DAKAR,04112,041,Enfant biologiqueAdopte,Feminin,30-34ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,0,Moins de 30 minutes,Diminué,Bougies,Oui,,,Non,,,Transport public TaTa,Attente trop longue,,NSP,99,,,837.5989379882813,Dakar urbain
DAKAR,04208,042,Enfant biologiqueAdopte,Feminin,30-34ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,7,Moins de 30 minutes,Augmenté,Bougies,Oui,,,Non,,,Transport public TaTa,Manque de place/surcharge,,NSP,99,,,1739.723754882813,Rural
DAKAR,04209,042,Enfant biologiqueAdopte,Feminin,20-24ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,4,Entre 2 et 6 heures,Augmenté,Bougies,Oui,,,Non,,,Taxi clando,"Indicipline conducteur, apprenti/receveur",,NSP,99,,,1739.723754882813,Rural
DAKAR,04212,042,Chef de menage,Masculi,40-44ans,Serere, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Chaque jour,5,Plus de 6 heures,Augmenté,Autre,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,Autre,,NSP,99,,,1739.723754882813,Rural
DAKAR,04302,043,EpouseEpoux,Feminin,40-44ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Chaque jour,7,Entre 2 et 6 heures,Augmenté,Bougies,Oui,,,Non,,,Transport public TaTa,Manque de place/surcharge,,NSP,99,,,818.7149047851563,Dakar urbain
DAKAR,04307,043,EpouseEpoux,Feminin,25-29ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,7,Moins de 30 minutes,Diminué,Torche,Oui,,,Oui,,,Transport public Ndiaga ndiaye ou car rapide,Manque de fiabilité des services de transport public,,NSP,99,,,818.7149047851563,Dakar urbain
DAKAR,04309,043,Chef de menage,Feminin,60-64ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,5,Plus de 6 heures,Restée la même,Bougies,Oui,,,Non,,,Taxi clando,"Indicipline conducteur, apprenti/receveur",,NSP,99,,,818.7149047851563,Dakar urbain
DAKAR,04310,043,Autre personne non apparentee,Masculi,25-29ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,2,Entre 30 minutes et 1 heure,Diminué,Bougies,Oui,,,Non,,,Transport public TaTa,Manque de place/surcharge,,NSP,99,,,818.7149047851563,Dakar urbain
DAKAR,04401,044,Enfant biologiqueAdopte,Masculi,18-19ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,3,Entre 1 et 2 heures,Diminué,Bougies,Oui,,,Oui,,,Transport public TaTa,Manque de place/surcharge,,NSP,99,,,804.094970703125,Dakar urbain
DAKAR,04405,044,Enfant biologiqueAdopte,Feminin,55-59ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,4,Entre 2 et 6 heures,Augmenté,Bougies,Oui,,,Non,,,Transport public TaTa,Attente trop longue,,NSP,99,,,804.094970703125,Dakar urbain
DAKAR,04406,044,Enfant biologiqueAdopte,Masculi,20-24ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,5,Moins de 30 minutes,Restée la même,Bougies,Oui,,,Non,,,Taxi clando,Attente trop longue,,NSP,99,,,804.094970703125,Dakar urbain
DAKAR,04407,044,EpouseEpoux,Feminin,35-39ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,3,Entre 2 et 6 heures,Restée la même,Bougies,Oui,,,Oui,,,L'âne/charrette (tirée a la main ou par animal),Prix trop élevé,,NSP,99,,,804.094970703125,Dakar urbain
DAKAR,04408,044,Autre Parent,Masculi,40-44ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,4,Moins de 30 minutes,Diminué,Torche,Oui,,,Oui,,,Taxi clando,Prix trop élevé,,NSP,99,,,804.094970703125,Dakar urbain
DAKAR,04409,044,Enfant biologiqueAdopte,Feminin,20-24ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,0,Entre 2 et 6 heures,Augmenté,Torche,Oui,,,Oui,,,Transport public TaTa,Manque de place/surcharge,,NSP,99,,,804.094970703125,Dakar urbain
DAKAR,04412,044,Enfant biologiqueAdopte,Feminin,20-24ans,Halpulaar, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,5,Entre 1 et 2 heures,Diminué,Bougies,Oui,,,Oui,,,Transport public TaTa,Manque de place/surcharge,,NSP,99,,,804.094970703125,Dakar urbain
DAKAR,04501,045,Enfant biologiqueAdopte,Masculi,20-24ans,Halpulaar, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Rarement,2,Entre 30 minutes et 1 heure,Restée la même,Torche,Oui,,,Non,,,Transport public TaTa,Manque de place/surcharge,,NSP,99,,,758.2474975585938,Dakar urbain
DAKAR,04503,045,Chef de menage,Feminin,35-39ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,7,Entre 1 et 2 heures,Augmenté,Torche,Oui,,,Oui,,,Transport public TaTa,Attente trop longue,,NSP,99,,,758.2474975585938,Dakar urbain
DAKAR,04504,045,Chef de menage,Masculi,30-34ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,2,Plus de 6 heures,Augmenté,Bougies,Oui,,,Oui,,,Transport public TaTa,Perte de temps,,NSP,99,,,758.2474975585938,Dakar urbain
DAKAR,04507,045,Enfant biologiqueAdopte,Feminin,30-34ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,2,Plus de 6 heures,Augmenté,Torche,Oui,,,Oui,,,Transport public TaTa,Perte de temps,,NSP,99,,,758.2474975585938,Dakar urbain
DAKAR,04509,045,Chef de menage,Feminin,55-59ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,3,Plus de 6 heures,Restée la même,Bougies,Oui,,,Non,,,Transport public TaTa,Prix trop élevé,,NSP,99,,,758.2474975585938,Dakar urbain
DAKAR,04511,045,S?urFrere,Masculi,35-39ans,Halpulaar, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,2,Entre 30 minutes et 1 heure,Diminué,Lampe rechargeable,Oui,,,Oui,,,Taxi clando,Manque de fiabilité des services de transport public,,NSP,99,,,758.2474975585938,Dakar urbain
DAKAR,04602,046,Chef de menage,Feminin,40-44ans,Wolof, 10 à 15 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,2,Moins de 30 minutes,Diminué,Bougies,Oui,,,Non,,,Transport public TaTa,Perte de temps,,NSP,99,,,677.1326293945313,Dakar urbain
DAKAR,04603,046,Chef de menage,Masculi,30-34ans,Halpulaar, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,4,Entre 30 minutes et 1 heure,Augmenté,Bougies,Oui,,,Non,,,Taxi clando,Attente trop longue,,NSP,99,,,677.1326293945313,Dakar urbain
DAKAR,04605,046,Enfant biologiqueAdopte,Feminin,25-29ans,Wolof, au plus 5 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,3,Entre 2 et 6 heures,Augmenté,Bougies,Oui,,,Oui,,,Taxi clando,Manque de place/surcharge,,NSP,99,,,677.1326293945313,Dakar urbain
DAKAR,04606,046,Chef de menage,Feminin,25-29ans,Wolof, 6 à 10 personnes,Oui,Réseau électrique national de la SENELEC,,Plusieurs fois par semaine,7,Entre 1 et 2 heures,Augmenté,Bougies,Oui,,,Non,,,Transport public TaTa,Manque de place/surcharge,,NSP,99,,,677.1326293945313,Dakar urbain
